Name,Type,County,Population_2010,Area_SqMiles
Adelanto,City,San Bernardino,31765,56.01
Agoura Hills,City,Los Angeles,20330,7.79
Alameda,City,Alameda,73812,10.61
Albany,City,Alameda,18539,1.79
Alhambra,City,Los Angeles,83089,7.63
Aliso Viejo,City,Orange,47823,7.47
Alturas,City,Modoc,2827,2.43
Amador City,City,Amador,185,0.31
American Canyon,City,Napa,19454,4.84
Anaheim,City,Orange,336265,49.84
Anderson,City,Shasta,9932,6.37
Angels Camp,City,Calaveras,3836,3.63
Antioch,City,Contra Costa,102372,28.35
Apple Valley,Town,San Bernardino,69135,73.19
Arcadia,City,Los Angeles,56364,10.93
Arcata,City,Humboldt,17231,9.1
Arroyo Grande,City,San Luis Obispo,17252,5.84
Artesia,City,Los Angeles,16522,1.62
Arvin,City,Kern,19304,4.82
Atascadero,City,San Luis Obispo,28310,25.64
Atherton,Town,San Mateo,6914,5.02
Atwater,City,Merced,28168,6.09
Auburn,City,Placer,13330,7.14
Avalon,City,Los Angeles,3728,2.94
Avenal,City,Kings,15505,19.42
Azusa,City,Los Angeles,46361,9.66
Bakersfield,City,Kern,347483,142.16
Baldwin Park,City,Los Angeles,75390,6.63
Banning,City,Riverside,29603,23.1
Barstow,City,San Bernardino,22639,41.38
Beaumont,City,Riverside,36877,30.91
Bell,City,Los Angeles,35477,2.5
Bell Gardens,City,Los Angeles,42072,2.46
Bellflower,City,Los Angeles,76616,6.12
Belmont,City,San Mateo,25835,4.62
Belvedere,City,Marin,2068,0.52
Benicia,City,Solano,26997,12.93
Berkeley,City,Alameda,112580,10.47
Beverly Hills,City,Los Angeles,34109,5.71
Big Bear Lake,City,San Bernardino,5019,6.35
Biggs,City,Butte,1707,0.64
Bishop,City,Inyo,3879,1.86
Blue Lake,City,Humboldt,1253,0.59
Blythe,City,Riverside,20817,26.19
Bradbury,City,Los Angeles,1048,1.96
Brawley,City,Imperial,24953,7.68
Brea,City,Orange,39282,12.08
Brentwood,City,Contra Costa,51481,14.79
Brisbane,City,San Mateo,4282,3.1
Buellton,City,Santa Barbara,4828,1.58
Buena Park,City,Orange,80530,10.52
Burbank,City,Los Angeles,103340,17.34
Burlingame,City,San Mateo,28806,4.41
Calabasas,City,Los Angeles,23058,12.9
Calexico,City,Imperial,38572,8.39
California City,City,Kern,14120,203.52
Calimesa,City,Riverside,7879,14.85
Calipatria,City,Imperial,7705,3.72
Calistoga,City,Napa,5155,2.6
Camarillo,City,Ventura,65201,19.53
Campbell,City,Santa Clara,39349,5.8
Canyon Lake,City,Riverside,10561,3.93
Capitola,City,Santa Cruz,9918,1.59
Carlsbad,City,San Diego,105328,37.72
Carmel-by-the-Sea,City,Monterey,3722,1.08
Carpinteria,City,Santa Barbara,13040,2.59
Carson,City,Los Angeles,91714,18.72
Cathedral City,City,Riverside,51200,21.5
Ceres,City,Stanislaus,45417,8.01
Cerritos,City,Los Angeles,49041,8.73
Chico,City,Butte,86187,32.92
Chino,City,San Bernardino,77983,29.64
Chino Hills,City,San Bernardino,74799,44.68
Chowchilla,City,Madera,18720,7.66
Chula Vista,City,San Diego,243916,49.63
Citrus Heights,City,Sacramento,83301,14.23
Claremont,City,Los Angeles,34926,13.35
Clayton,City,Contra Costa,10897,3.84
Clearlake,City,Lake,15250,10.13
Cloverdale,City,Sonoma,8618,2.65
Clovis,City,Fresno,95631,23.28
Coachella,City,Riverside,40704,28.95
Coalinga,City,Fresno,13380,6.12
Colfax,City,Placer,1963,1.41
Colma,Town,San Mateo,1792,1.91
Colton,City,San Bernardino,52154,15.32
Colusa,City,Colusa,5971,1.83
Commerce,City,Los Angeles,12823,6.54
Compton,City,Los Angeles,96455,10.01
Concord,City,Contra Costa,122067,30.55
Corcoran,City,Kings,24813,7.47
Corning,City,Tehama,7663,3.55
Corona,City,Riverside,152374,38.83
Coronado,City,San Diego,24697,7.93
Corte Madera,Town,Marin,9253,3.16
Costa Mesa,City,Orange,109960,15.65
Cotati,City,Sonoma,7265,1.88
Covina,City,Los Angeles,47796,7.03
Crescent City,City,Del Norte,7643,1.96
Cudahy,City,Los Angeles,23805,1.18
Culver City,City,Los Angeles,38883,5.11
Cupertino,City,Santa Clara,58302,11.26
Cypress,City,Orange,47802,6.58
Daly City,City,San Mateo,101123,7.66
Dana Point,City,Orange,33351,6.5
Danville,Town,Contra Costa,42039,18.03
Davis,City,Yolo,65622,9.89
Del Mar,City,San Diego,4161,1.71
Del Rey Oaks,City,Monterey,1624,0.48
Delano,City,Kern,53041,14.3
Desert Hot Springs,City,Riverside,25938,23.62
Diamond Bar,City,Los Angeles,55544,14.88
Dinuba,City,Tulare,21453,6.47
Dixon,City,Solano,18351,7
Dorris,City,Siskiyou,939,0.7
Dos Palos,City,Merced,4950,1.35
Downey,City,Los Angeles,111772,12.41
Duarte,City,Los Angeles,21321,6.69
Dublin,City,Alameda,46036,14.91
Dunsmuir,City,Siskiyou,1650,1.7
East Palo Alto,City,San Mateo,28155,2.51
Eastvale,City,Riverside,53670,13.1
El Cajon,City,San Diego,99478,14.43
El Centro,City,Imperial,42598,11.08
El Cerrito,City,Contra Costa,23549,3.69
El Monte,City,Los Angeles,113475,9.56
El Segundo,City,Los Angeles,16654,5.46
Elk Grove,City,Sacramento,153015,42.19
Emeryville,City,Alameda,10080,1.25
Encinitas,City,San Diego,59518,18.81
Escalon,City,San Joaquin,7132,2.3
Escondido,City,San Diego,143911,36.81
Etna,City,Siskiyou,737,0.76
Eureka,City,Humboldt,27191,9.38
Exeter,City,Tulare,10334,2.46
Fairfax,Town,Marin,7441,2.2
Fairfield,City,Solano,105321,37.39
Farmersville,City,Tulare,10588,2.26
Ferndale,City,Humboldt,1371,1.03
Fillmore,City,Ventura,15002,3.36
Firebaugh,City,Fresno,7549,3.46
Folsom,City,Sacramento,72203,21.95
Fontana,City,San Bernardino,196069,42.43
Fort Bragg,City,Mendocino,7273,2.75
Fort Jones,City,Siskiyou,839,0.6
Fortuna,City,Humboldt,11926,4.85
Foster City,City,San Mateo,30567,3.76
Fountain Valley,City,Orange,55313,9.02
Fowler,City,Fresno,5570,2.53
Fremont,City,Alameda,214089,77.46
Fresno,City,Fresno,494665,111.96
Fullerton,City,Orange,135161,22.35
Galt,City,Sacramento,23647,5.93
Garden Grove,City,Orange,170883,17.94
Gardena,City,Los Angeles,58829,5.83
Gilroy,City,Santa Clara,48821,16.15
Glendale,City,Los Angeles,191719,30.45
Glendora,City,Los Angeles,50073,19.39
Goleta,City,Santa Barbara,29888,7.9
Gonzales,City,Monterey,8187,1.92
Grand Terrace,City,San Bernardino,12040,3.5
Grass Valley,City,Nevada,12860,4.74
Greenfield,City,Monterey,16330,2.14
Gridley,City,Butte,6584,2.07
Grover Beach,City,San Luis Obispo,13156,2.31
Guadalupe,City,Santa Barbara,7080,1.31
Gustine,City,Merced,5520,1.55
Half Moon Bay,City,San Mateo,11324,6.42
Hanford,City,Kings,53967,16.59
Hawaiian Gardens,City,Los Angeles,14254,0.95
Hawthorne,City,Los Angeles,84293,6.08
Hayward,City,Alameda,144186,45.32
Healdsburg,City,Sonoma,11254,4.46
Hemet,City,Riverside,78657,27.85
Hercules,City,Contra Costa,24060,6.21
Hermosa Beach,City,Los Angeles,19506,1.43
Hesperia,City,San Bernardino,90173,73.1
Hidden Hills,City,Los Angeles,1856,1.69
Highland,City,San Bernardino,53104,18.76
Hillsborough,Town,San Mateo,10825,6.19
Hollister,City,San Benito,34928,7.29
Holtville,City,Imperial,5939,1.15
Hughson,City,Stanislaus,6640,1.82
Huntington Beach,City,Orange,189992,26.75
Huntington Park,City,Los Angeles,58114,3.01
Huron,City,Fresno,6754,1.59
Imperial,City,Imperial,14758,5.86
Imperial Beach,City,San Diego,26324,4.16
Indian Wells,City,Riverside,4958,14.32
Indio,City,Riverside,76036,29.18
Industry,City,Los Angeles,219,11.78
Inglewood,City,Los Angeles,109673,9.07
Ione,City,Amador,7918,4.76
Inskip,Town,Butte,20,1
Irvine,City,Orange,212375,66.11
Irwindale,City,Los Angeles,1422,8.83
Isleton,City,Sacramento,804,0.44
Jackson,City,Amador,4651,3.73
Jurupa Valley,City,Riverside,95004,43.7
Kerman,City,Fresno,13544,3.23
King City,City,Monterey,12874,3.84
Kingsburg,City,Fresno,11382,2.83
La Caìada Flintridge,City,Los Angeles,20246,8.63
La Habra,City,Orange,60239,7.37
La Habra Heights,City,Los Angeles,5325,6.16
La Mesa,City,San Diego,57065,9.08
La Mirada,City,Los Angeles,48527,7.84
La Palma,City,Orange,15568,1.81
La Puente,City,Los Angeles,39816,3.48
La Quinta,City,Riverside,37467,35.12
La Verne,City,Los Angeles,31063,8.43
Lafayette,City,Contra Costa,23893,15.22
Laguna Beach,City,Orange,22723,8.85
Laguna Hills,City,Orange,30344,6.67
Laguna Niguel,City,Orange,62979,14.83
Laguna Woods,City,Orange,16192,3.12
Lake Elsinore,City,Riverside,51821,36.21
Lake Forest,City,Orange,77264,17.82
Lakeport,City,Lake,4753,3.06
Lakewood,City,Los Angeles,80048,9.41
Lancaster,City,Los Angeles,156633,94.28
Larkspur,City,Marin,11926,3.03
Lathrop,City,San Joaquin,18023,21.93
Lawndale,City,Los Angeles,32769,1.97
Lemon Grove,City,San Diego,25320,3.88
Lemoore,City,Kings,24531,8.52
Lincoln,City,Placer,42819,20.11
Lindsay,City,Tulare,11768,2.61
Live Oak,City,Sutter,8392,1.87
Livermore,City,Alameda,80968,25.17
Livingston,City,Merced,13058,3.72
Lodi,City,San Joaquin,62134,13.61
Loma Linda,City,San Bernardino,23261,7.52
Lomita,City,Los Angeles,20256,1.91
Lompoc,City,Santa Barbara,42434,11.6
Long Beach,City,Los Angeles,462257,50.29
Loomis,Town,Placer,6430,7.27
Los Alamitos,City,Orange,11449,4.05
Los Altos,City,Santa Clara,28976,6.49
Los Altos Hills,Town,Santa Clara,7922,8.8
Los Angeles,City,Los Angeles,3792621,468.67
Los Banos,City,Merced,35972,9.99
Los Gatos,Town,Santa Clara,29413,11.08
Loyalton,City,Sierra,769,0.36
Lynwood,City,Los Angeles,69772,4.84
Madera,City,Madera,61416,15.79
Malibu,City,Los Angeles,12645,19.78
Mammoth Lakes,Town,Mono,8234,24.87
Manhattan Beach,City,Los Angeles,35135,3.94
Manteca,City,San Joaquin,67096,17.73
Maricopa,City,Kern,1154,1.5
Marina,City,Monterey,19718,8.88
Martinez,City,Contra Costa,35824,12.13
Marysville,City,Yuba,12072,3.46
Maywood,City,Los Angeles,27395,1.18
McFarland,City,Kern,12707,2.67
Mendota,City,Fresno,11014,3.28
Menifee,City,Riverside,77519,46.47
Menlo Park,City,San Mateo,32026,9.79
